Region,Year,Indicator Name,Indicator Value,Source,Indicator Group
Tigray,2000,Perceived barriers to care due to treatment costs by wealth ,0,HMIS,Global PHC
Tigray,2005,Perceived barriers to care due to treatment costs by wealth ,0.64,HMIS,Global PHC
Tigray,2011,Perceived barriers to care due to treatment costs by wealth ,0.55,HMIS,Global PHC
Tigray,2016,Perceived barriers to care due to treatment costs by wealth ,0.66,HMIS,Global PHC
Tigray,2019,Perceived barriers to care due to treatment costs by wealth ,0,HMIS,Global PHC
Tigray,2000,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Tigray,2005,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Tigray,2011,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Tigray,2016,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Tigray,2019,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Afar,2000,Perceived barriers to care due to treatment costs by wealth ,0,HMIS,Global PHC
Afar,2005,Perceived barriers to care due to treatment costs by wealth ,0.83,HMIS,Global PHC
Afar,2011,Perceived barriers to care due to treatment costs by wealth ,0.35,HMIS,Global PHC
Afar,2016,Perceived barriers to care due to treatment costs by wealth ,0.43,HMIS,Global PHC
Afar,2019,Perceived barriers to care due to treatment costs by wealth ,0,HMIS,Global PHC
Afar,2000,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Afar,2005,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Afar,2011,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Afar,2016,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Afar,2019,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Amhara ,2000,Perceived barriers to care due to treatment costs by wealth ,0,HMIS,Global PHC
Amhara ,2005,Perceived barriers to care due to treatment costs by wealth ,0.8,HMIS,Global PHC
Amhara ,2011,Perceived barriers to care due to treatment costs by wealth ,0.81,HMIS,Global PHC
Amhara ,2016,Perceived barriers to care due to treatment costs by wealth ,0.35,HMIS,Global PHC
Amhara ,2019,Perceived barriers to care due to treatment costs by wealth ,0,HMIS,Global PHC
Amhara ,2000,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Amhara ,2005,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Amhara ,2011,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Amhara ,2016,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Amhara ,2019,Under-five mortality rate: difference between urban and rura,0,EDHS,Global PHC
Oromia,2000,Perceived barriers to care due to treatment costs by wealth ,0,HMIS,Global PHC
Oromia,2005,Perceived barriers to care due to treatment costs by wealth ,0.86,HMIS,Global PHC
Oromia,2011,Perceived barriers to care due to treatment costs by wealth ,0.79,HMIS,Global PHC
Oromia,2016,Perceived barriers to care due to treatment costs by wealth ,0.58,HMIS,Global PHC
Oromia,2019,Perceived barriers to care due to treatment costs by wealth ,0,HMIS,Global PHC
