Region,Year,Indicator Name,Indicator Value,Source,Indicator Group
Tigray,1995,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,1996,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,1999,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2000,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2004,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2005,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2007,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2008,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2010,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2011,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2013,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2014,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2016,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,2017,Total spending on PHC per capita (USD),0,NHA,Global PHC
Tigray,1995,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,1996,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,1999,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2000,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2004,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2005,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2007,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2008,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2010,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2011,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2013,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2014,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2016,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,2017,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Tigray,1995,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,1996,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,1999,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2000,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2004,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2005,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2007,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2008,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2010,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2011,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2013,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2014,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2016,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,2017,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Tigray,1995,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,1996,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,1999,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2000,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2004,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2005,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2007,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2008,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2010,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2011,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2013,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2014,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2016,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Tigray,2017,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,1995,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,1996,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,1999,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2000,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2004,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2005,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2007,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2008,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2010,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2011,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2013,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2014,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2016,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,2017,Total spending on PHC per capita (USD),0,NHA,Global PHC
Afar,1995,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,1996,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,1999,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2000,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2004,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2005,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2007,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2008,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2010,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2011,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2013,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2014,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2016,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,2017,Share of overall health spending on PHC as % of current heal,0,NHA,Global PHC
Afar,1995,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,1996,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,1999,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2000,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2004,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2005,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2007,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2008,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2010,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2011,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2013,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2014,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2016,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,2017,Share of government health spending on PHC as % of total gov,0,NHA,Global PHC
Afar,1995,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,1996,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,1999,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2000,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2004,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2005,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2007,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2008,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2010,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2011,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2013,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2014,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
Afar,2016,Government domestic spending on PHC as % of total spending o,0,NHA,Global PHC
