Region,Year,Indicator Name,Indicator Value,Source,Indicator Group
Tigray,2000,Demand for family planning satisfied with modern methods (),26.7,EDHS,Global PHC
Tigray,2005,Demand for family planning satisfied with modern methods (),40.9,EDHS,Global PHC
Tigray,2011,Demand for family planning satisfied with modern methods (),48.00,EDHS,Global PHC
Tigray,2016,Demand for family planning satisfied with modern methods (),64.80,EDHS,Global PHC
Tigray,2019,Demand for family planning satisfied with modern methods (),0,EDHS,Global PHC
Tigray,2009,TB treatment success rate (),91,HMIS,Global PHC
Tigray,2010,TB treatment success rate (),88,HMIS,Global PHC
Tigray,2011,TB treatment success rate (),94,HMIS,Global PHC
Tigray,2012,TB treatment success rate (),94,HMIS,Global PHC
Tigray,2013,TB treatment success rate (),0,HMIS,Global PHC
Tigray,2000,DPT Dropout rate (),27,EDHS,Global PHC
Tigray,2005,DPT Dropout rate (),37,EDHS,Global PHC
Tigray,2011,DPT Dropout rate (),22,EDHS,Global PHC
Tigray,2016,DPT Dropout rate (),17,EDHS,Global PHC
Tigray,2019,DPT Dropout rate (),0,EDHS,Global PHC
Tigray,2018,Proportion of 3 primary infectious disease services provided ,97,SARA,Global PHC
Tigray,2019,Proportion of 3 primary infectious disease services provided ,83,SARA,Global PHC
Tigray,2020,Proportion of 3 primary infectious disease services provided ,72,SARA,Global PHC
Tigray,2014,Provider absence rate,28,SPA +,Global PHC
Afar,2000,Demand for family planning satisfied with modern methods (),38.6,EDHS,Global PHC
Afar,2005,Demand for family planning satisfied with modern methods (),33.0,EDHS,Global PHC
Afar,2011,Demand for family planning satisfied with modern methods (),35.50,EDHS,Global PHC
Afar,2016,Demand for family planning satisfied with modern methods (),40.30,EDHS,Global PHC
Afar,2019,Demand for family planning satisfied with modern methods (),0,EDHS,Global PHC
Afar,2009,TB treatment success rate (),74,HMIS,Global PHC
Afar,2010,TB treatment success rate (),74,HMIS,Global PHC
Afar,2011,TB treatment success rate (),89,HMIS,Global PHC
Afar,2012,TB treatment success rate (),87,HMIS,Global PHC
Afar,2013,TB treatment success rate (),87,HMIS,Global PHC
