Region,Year,Indicator Name,Indicator Value,Source,Indicator Group
Tigray,2000,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Tigray,2005,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Tigray,2011,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Tigray,2016,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Tigray,2019,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Tigray,2000,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Tigray,2005,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Tigray,2011,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Tigray,2016,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Tigray,2019,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Tigray,2000,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Tigray,2005,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Tigray,2011,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Tigray,2016,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Tigray,2019,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Tigray,2013,"Ratio of ""Coverage of currently on ART"" between paediatrics ",0,HMIS,HSTP II indicator
Afar,2000,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Afar,2005,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Afar,2011,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Afar,2016,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Afar,2019,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Afar,2000,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Afar,2005,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Afar,2011,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Afar,2016,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Afar,2019,Ratio of Stunting between urban to rural,0,DHS,HSTP II indicator
Afar,2000,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Afar,2005,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Afar,2011,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Afar,2016,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Afar,2019,Ratio of pentavalent 3 coverage between the lowest quantile ,0,DHS,HSTP II indicator
Afar,2013,"Ratio of ""Coverage of currently on ART"" between paediatrics ",0.15,HMIS,HSTP II indicator
Amhara,2000,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Amhara,2005,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
Amhara,2011,Ratio of deliveries assisted by Skilled Birth Attendants bet,0,DHS,HSTP II indicator
