Region,Year,Indicator Name,Indicator Value,Source,Indicator Group
Tigray,1995,Out of Pocket Expenditure as a share of total health expendi,30.3,NHA,HSTP II indicator
Tigray,1996,Out of Pocket Expenditure as a share of total health expendi,30.3,NHA,HSTP II indicator
Tigray,1999,Out of Pocket Expenditure as a share of total health expendi,20.7,NHA,HSTP II indicator
Tigray,2000,Out of Pocket Expenditure as a share of total health expendi,20.7,NHA,HSTP II indicator
Tigray,2004,Out of Pocket Expenditure as a share of total health expendi,17.8,NHA,HSTP II indicator
Tigray,2005,Out of Pocket Expenditure as a share of total health expendi,17.8,NHA,HSTP II indicator
Tigray,2007,Out of Pocket Expenditure as a share of total health expendi,21.3,NHA,HSTP II indicator
Tigray,2008,Out of Pocket Expenditure as a share of total health expendi,21.3,NHA,HSTP II indicator
Tigray,2010,Out of Pocket Expenditure as a share of total health expendi,19.5,NHA,HSTP II indicator
Tigray,2011,Out of Pocket Expenditure as a share of total health expendi,19.5,NHA,HSTP II indicator
Tigray,2013,Out of Pocket Expenditure as a share of total health expendi,19,NHA,HSTP II indicator
Tigray,2014,Out of Pocket Expenditure as a share of total health expendi,19,NHA,HSTP II indicator
Tigray,2016,Out of Pocket Expenditure as a share of total health expendi,17.6,NHA,HSTP II indicator
Tigray,2017,Out of Pocket Expenditure as a share of total health expendi,17.6,NHA,HSTP II indicator
Tigray,1995,General government expenditure on health (GGHE) as a share o,5.1,NHA,HSTP II indicator
Tigray,1996,General government expenditure on health (GGHE) as a share o,5.1,NHA,HSTP II indicator
Tigray,1999,General government expenditure on health (GGHE) as a share o,5.5,NHA,HSTP II indicator
Tigray,2000,General government expenditure on health (GGHE) as a share o,5.5,NHA,HSTP II indicator
Tigray,2004,General government expenditure on health (GGHE) as a share o,4.7,NHA,HSTP II indicator
Tigray,2005,General government expenditure on health (GGHE) as a share o,4.7,NHA,HSTP II indicator
Tigray,2007,General government expenditure on health (GGHE) as a share o,4.7,NHA,HSTP II indicator
Tigray,2008,General government expenditure on health (GGHE) as a share o,4.7,NHA,HSTP II indicator
Tigray,2010,General government expenditure on health (GGHE) as a share o,7.5,NHA,HSTP II indicator
Tigray,2011,General government expenditure on health (GGHE) as a share o,7.5,NHA,HSTP II indicator
Tigray,2013,General government expenditure on health (GGHE) as a share o,7.7,NHA,HSTP II indicator
Tigray,2014,General government expenditure on health (GGHE) as a share o,7.7,NHA,HSTP II indicator
Tigray,2017,General government expenditure on health (GGHE) as a share o,8.6,NHA,HSTP II indicator
Tigray,1995,Total health expenditure per-capita (USD) ,4.41,NHA,HSTP II indicator
Tigray,1996,Total health expenditure per-capita (USD) ,4.41,NHA,HSTP II indicator
Tigray,1999,Total health expenditure per-capita (USD) ,5.69,NHA,HSTP II indicator
Tigray,2000,Total health expenditure per-capita (USD) ,5.69,NHA,HSTP II indicator
Tigray,2004,Total health expenditure per-capita (USD) ,6.53,NHA,HSTP II indicator
Tigray,2005,Total health expenditure per-capita (USD) ,6.53,NHA,HSTP II indicator
Tigray,2007,Total health expenditure per-capita (USD) ,14.29,NHA,HSTP II indicator
Tigray,2008,Total health expenditure per-capita (USD) ,14.29,NHA,HSTP II indicator
Tigray,2010,Total health expenditure per-capita (USD) ,19.37,NHA,HSTP II indicator
Tigray,2011,Total health expenditure per-capita (USD) ,19.37,NHA,HSTP II indicator
Tigray,2013,Total health expenditure per-capita (USD) ,27.28,NHA,HSTP II indicator
Tigray,2014,Total health expenditure per-capita (USD) ,27.28,NHA,HSTP II indicator
Tigray,2016,Total health expenditure per-capita (USD) ,31.15,NHA,HSTP II indicator
Tigray,2017,Total health expenditure per-capita (USD) ,31.15,NHA,HSTP II indicator
Afar,1995,Out of Pocket Expenditure as a share of total health expendi,49.8,NHA,HSTP II indicator
Afar,1996,Out of Pocket Expenditure as a share of total health expendi,49.8,NHA,HSTP II indicator
Afar,1999,Out of Pocket Expenditure as a share of total health expendi,34,NHA,HSTP II indicator
Afar,2000,Out of Pocket Expenditure as a share of total health expendi,34,NHA,HSTP II indicator
Afar,2004,Out of Pocket Expenditure as a share of total health expendi,29.3,NHA,HSTP II indicator
Afar,2005,Out of Pocket Expenditure as a share of total health expendi,29.3,NHA,HSTP II indicator
Afar,2007,Out of Pocket Expenditure as a share of total health expendi,35.1,NHA,HSTP II indicator
Afar,2008,Out of Pocket Expenditure as a share of total health expendi,35.1,NHA,HSTP II indicator
Afar,2010,Out of Pocket Expenditure as a share of total health expendi,32.1,NHA,HSTP II indicator
Afar,2011,Out of Pocket Expenditure as a share of total health expendi,32.1,NHA,HSTP II indicator
Afar,2013,Out of Pocket Expenditure as a share of total health expendi,31.2,NHA,HSTP II indicator
Afar,2014,Out of Pocket Expenditure as a share of total health expendi,31.2,NHA,HSTP II indicator
Afar,2016,Out of Pocket Expenditure as a share of total health expendi,29,NHA,HSTP II indicator
Afar,2017,Out of Pocket Expenditure as a share of total health expendi,29,NHA,HSTP II indicator
Afar,1995,General government expenditure on health (GGHE) as a share o,5.8,NHA,HSTP II indicator
Afar,1996,General government expenditure on health (GGHE) as a share o,5.8,NHA,HSTP II indicator
Afar,1999,General government expenditure on health (GGHE) as a share o,6.3,NHA,HSTP II indicator
Afar,2000,General government expenditure on health (GGHE) as a share o,6.3,NHA,HSTP II indicator
Afar,2004,General government expenditure on health (GGHE) as a share o,5.4,NHA,HSTP II indicator
Afar,2005,General government expenditure on health (GGHE) as a share o,5.4,NHA,HSTP II indicator
Afar,2007,General government expenditure on health (GGHE) as a share o,5.4,NHA,HSTP II indicator
Afar,2008,General government expenditure on health (GGHE) as a share o,5.4,NHA,HSTP II indicator
Afar,2010,General government expenditure on health (GGHE) as a share o,11,NHA,HSTP II indicator
Afar,2011,General government expenditure on health (GGHE) as a share o,11,NHA,HSTP II indicator
Afar,2013,General government expenditure on health (GGHE) as a share o,9.2,NHA,HSTP II indicator
Afar,2014,General government expenditure on health (GGHE) as a share o,9.2,NHA,HSTP II indicator
Afar,2017,General government expenditure on health (GGHE) as a share o,8,NHA,HSTP II indicator
Afar,1995,Total health expenditure per-capita (USD) ,5.15,NHA,HSTP II indicator
Afar,1996,Total health expenditure per-capita (USD) ,5.15,NHA,HSTP II indicator
Afar,1999,Total health expenditure per-capita (USD) ,6.64,NHA,HSTP II indicator
Afar,2000,Total health expenditure per-capita (USD) ,6.64,NHA,HSTP II indicator
Afar,2004,Total health expenditure per-capita (USD) ,8.68,NHA,HSTP II indicator
Afar,2005,Total health expenditure per-capita (USD) ,8.68,NHA,HSTP II indicator
Afar,2007,Total health expenditure per-capita (USD) ,16.35,NHA,HSTP II indicator
Afar,2008,Total health expenditure per-capita (USD) ,16.35,NHA,HSTP II indicator
Afar,2010,Total health expenditure per-capita (USD) ,20.48,NHA,HSTP II indicator
Afar,2011,Total health expenditure per-capita (USD) ,20.48,NHA,HSTP II indicator
Afar,2013,Total health expenditure per-capita (USD) ,28.86,NHA,HSTP II indicator
Afar,2014,Total health expenditure per-capita (USD) ,28.86,NHA,HSTP II indicator
Afar,2016,Total health expenditure per-capita (USD) ,32.98,NHA,HSTP II indicator
Afar,2017,Total health expenditure per-capita (USD) ,32.98,NHA,HSTP II indicator
Amhara,1995,Out of Pocket Expenditure as a share of total health expendi,35.6,NHA,HSTP II indicator
Amhara,1996,Out of Pocket Expenditure as a share of total health expendi,35.6,NHA,HSTP II indicator
Amhara,1999,Out of Pocket Expenditure as a share of total health expendi,24.4,NHA,HSTP II indicator
Amhara,2000,Out of Pocket Expenditure as a share of total health expendi,24.4,NHA,HSTP II indicator
Amhara,2004,Out of Pocket Expenditure as a share of total health expendi,21,NHA,HSTP II indicator
Amhara,2005,Out of Pocket Expenditure as a share of total health expendi,21,NHA,HSTP II indicator
Amhara,2007,Out of Pocket Expenditure as a share of total health expendi,25.1,NHA,HSTP II indicator
Amhara,2008,Out of Pocket Expenditure as a share of total health expendi,25.1,NHA,HSTP II indicator
Amhara,2010,Out of Pocket Expenditure as a share of total health expendi,23,NHA,HSTP II indicator
Amhara,2011,Out of Pocket Expenditure as a share of total health expendi,23,NHA,HSTP II indicator
Amhara,2013,Out of Pocket Expenditure as a share of total health expendi,22.3,NHA,HSTP II indicator
Amhara,2014,Out of Pocket Expenditure as a share of total health expendi,22.3,NHA,HSTP II indicator
Amhara,2016,Out of Pocket Expenditure as a share of total health expendi,20.7,NHA,HSTP II indicator
Amhara,2017,Out of Pocket Expenditure as a share of total health expendi,20.7,NHA,HSTP II indicator
Amhara,1995,General government expenditure on health (GGHE) as a share o,6.9,NHA,HSTP II indicator
Amhara,1996,General government expenditure on health (GGHE) as a share o,6.9,NHA,HSTP II indicator
Amhara,1999,General government expenditure on health (GGHE) as a share o,7.4,NHA,HSTP II indicator
Amhara,2000,General government expenditure on health (GGHE) as a share o,7.4,NHA,HSTP II indicator
Amhara,2004,General government expenditure on health (GGHE) as a share o,6.4,NHA,HSTP II indicator
Amhara,2005,General government expenditure on health (GGHE) as a share o,6.4,NHA,HSTP II indicator
Amhara,2007,General government expenditure on health (GGHE) as a share o,6.4,NHA,HSTP II indicator
