Region,Year,Indicator Name,Indicator Value,Source,Indicator Group
Tigray,2009,Bed Occupancy Rate,44,HMIS,HSTP II indicator
Tigray,2010,Bed Occupancy Rate,49,HMIS,HSTP II indicator
Tigray,2011,Bed Occupancy Rate,47,HMIS,HSTP II indicator
Tigray,2012,Bed Occupancy Rate,44,HMIS,HSTP II indicator
Tigray,2013,Bed Occupancy Rate,0,HMIS,HSTP II indicator
Tigray,2009,Outpatient attendance per capita,1.8,HMIS,HSTP II indicator
Tigray,2010,Outpatient attendance per capita,2,HMIS,HSTP II indicator
Tigray,2011,Outpatient attendance per capita,1.83,HMIS,HSTP II indicator
Tigray,2012,Outpatient attendance per capita,2.07,HMIS,HSTP II indicator
Tigray,2013,Outpatient attendance per capita,0,HMIS,HSTP II indicator
Tigray,2000,Wasting prevalence in children aged less than 5 years (%),11.1,EDHS,HSTP II indicator
Tigray,2005,Wasting prevalence in children aged less than 5 years (%),11.6,EDHS,HSTP II indicator
Tigray,2011,Wasting prevalence in children aged less than 5 years (%),10.3,EDHS,HSTP II indicator
Tigray,2016,Wasting prevalence in children aged less than 5 years (%),11.1,EDHS,HSTP II indicator
Tigray,2019,Wasting prevalence in children aged less than 5 years (%),9.1,EDHS,HSTP II indicator
Afar,2009,Bed Occupancy Rate,16,HMIS,HSTP II indicator
Afar,2010,Bed Occupancy Rate,8,HMIS,HSTP II indicator
Afar,2011,Bed Occupancy Rate,21,HMIS,HSTP II indicator
Afar,2012,Bed Occupancy Rate,22,HMIS,HSTP II indicator
Afar,2013,Bed Occupancy Rate,28.6,HMIS,HSTP II indicator
Afar,2009,Outpatient attendance per capita,0.4,HMIS,HSTP II indicator
Afar,2010,Outpatient attendance per capita,0.2,HMIS,HSTP II indicator
Afar,2011,Outpatient attendance per capita,0.36,HMIS,HSTP II indicator
Afar,2012,Outpatient attendance per capita,0.36,HMIS,HSTP II indicator
Afar,2013,Outpatient attendance per capita,0.35,HMIS,HSTP II indicator
Afar,2000,Wasting prevalence in children aged less than 5 years (%),12.6,EDHS,HSTP II indicator
Afar,2005,Wasting prevalence in children aged less than 5 years (%),9.9,EDHS,HSTP II indicator
Afar,2011,Wasting prevalence in children aged less than 5 years (%),19.5,EDHS,HSTP II indicator
Afar,2016,Wasting prevalence in children aged less than 5 years (%),17.7,EDHS,HSTP II indicator
